2024-12-25 12:34:16,981 - ERROR - Starting the PLC data reader script.
2024-12-25 12:34:21,993 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:22,005 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:22,008 - ERROR - Generic message '_read_template(instance_id=1569, object_definition_size=495)' failed: Insufficient Packet Space
2024-12-25 12:34:22,019 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:22,021 - ERROR - Generic message '_read_template(instance_id=1849, object_definition_size=178)' failed: Insufficient Packet Space
2024-12-25 12:34:22,022 - ERROR - Generic message '_read_template(instance_id=1849, object_definition_size=178)' failed: Insufficient Packet Space
2024-12-25 12:34:22,034 - ERROR - Generic message '_read_template(instance_id=1569, object_definition_size=495)' failed: Insufficient Packet Space
2024-12-25 12:34:22,041 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:22,041 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:22,050 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:22,057 - ERROR - Generic message '_read_template(instance_id=1849, object_definition_size=178)' failed: Insufficient Packet Space
2024-12-25 12:34:22,091 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:22,092 - ERROR - Generic message '_read_template(instance_id=1569, object_definition_size=495)' failed: Insufficient Packet Space
2024-12-25 12:34:22,097 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:22,101 - ERROR - Generic message '_read_template(instance_id=1849, object_definition_size=178)' failed: Insufficient Packet Space
2024-12-25 12:34:22,108 - ERROR - Generic message '_read_template(instance_id=1849, object_definition_size=178)' failed: Insufficient Packet Space
2024-12-25 12:34:22,126 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:22,129 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:22,134 - ERROR - Generic message '_read_template(instance_id=2701, object_definition_size=314)' failed: Insufficient Packet Space
2024-12-25 12:34:22,139 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:22,178 - ERROR - Generic message '_read_template(instance_id=2701, object_definition_size=314)' failed: Insufficient Packet Space
2024-12-25 12:34:22,178 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:22,183 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:22,203 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:22,205 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:22,206 - ERROR - Generic message '_read_template(instance_id=2701, object_definition_size=314)' failed: Insufficient Packet Space
2024-12-25 12:34:22,212 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:22,227 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:22,232 - ERROR - Generic message '_read_template(instance_id=2701, object_definition_size=314)' failed: Insufficient Packet Space
2024-12-25 12:34:22,236 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:22,250 - ERROR - Generic message '_read_template(instance_id=2115, object_definition_size=319)' failed: Insufficient Packet Space
2024-12-25 12:34:22,264 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
